name,group,feature,workload,document,target_bytes,byte_count,mode,off_ns,on_ns,on_over_off,ratio_min,ratio_max,pairs,round_ratios,html_equal,ast_equal,off_html_bytes,on_html_bytes
parser.footnotes-plain-300,feature,parser.footnotes,plain,,300,330,parse,116.89804155740097,117.48037331393564,1.0036341865652951,0.9906545940021448,1.0134585832834524,6,"[1.003038988672793, 1.0056648163315967]",True,True,342,342
parser.footnotes-plain-300,feature,parser.footnotes,plain,,300,330,render,52.58241435452163,52.27340238198886,0.9903439026223589,0.9843937127250568,1.0089334186280277,6,"[0.9933821697035825, 0.9853491155806104]",True,True,342,342
parser.footnotes-plain-300,feature,parser.footnotes,plain,,300,330,fresh,500.1391276463832,501.96159494258336,1.0005461558736155,0.9946085450453106,1.0159615810646336,6,"[0.996322326600444, 1.004769985146787]",True,True,342,342
parser.footnotes-plain-300,feature,parser.footnotes,plain,,300,330,reuse,167.35257990301804,167.03204888715257,0.9986334806936875,0.9959662122008335,1.023451616238869,6,"[0.99831984981727, 0.9989471115701051]",True,True,342,342
parser.footnotes-active-300,feature,parser.footnotes,active,,300,300,parse,2276.5816867110707,3127.9669620646764,1.3747208496647243,1.360889837046268,1.4030853497317561,6,"[1.3610980336321161, 1.377614418026365]",False,False,450,1126
parser.footnotes-active-300,feature,parser.footnotes,active,,300,300,render,432.00607994691757,789.1642621245546,1.8276596836708523,1.8125514347756468,1.8321144863307797,6,"[1.8254664649052827, 1.829984763058817]",False,False,450,1126
parser.footnotes-active-300,feature,parser.footnotes,active,,300,300,fresh,3081.1268472906404,4404.498679577465,1.4282558825156113,1.3789193528606403,1.4594242679403473,6,"[1.429634046351018, 1.4270414141163221]",False,False,450,1126
parser.footnotes-active-300,feature,parser.footnotes,active,,300,300,reuse,2703.618938577586,3884.9482245897552,1.434595748085687,1.422180222832492,1.4584545374289815,6,"[1.4367270532803007, 1.4282206756095543]",False,False,450,1126
parser.footnotes-plain-4096,feature,parser.footnotes,plain,,4096,4125,parse,1192.6091788199114,1188.5990139039486,1.0001872601621162,0.9735607928030708,1.0192852948495281,6,"[0.9958218371184281, 1.013101750950312]",True,True,4275,4275
parser.footnotes-plain-4096,feature,parser.footnotes,plain,,4096,4125,render,527.7144697222452,531.0473855751359,1.0035064311597908,0.9870434922062887,1.0088627523185452,6,"[1.0055852686786433, 0.9992422404462442]",True,True,4275,4275
