case,profile,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
wiki-volcano-first-paragraph,commonmark,fresh,4559.018859329446,4114.878042763158,1.1128875772528777,1.1006865357420657,1.1280589359319229,9,"[1.1264927085293417, 1.1045735292882661, 1.1106008995667707]"
wiki-volcano-first-paragraph,commonmark,reuse,4175.90275,3689.434699292453,1.133929759891416,1.1192079693857073,1.1623446793867758,9,"[1.133929759891416, 1.1376062604586592, 1.1294866781863278]"
wiki-volcano-first-paragraph,commonmark,parse,3338.3945229211085,2854.2617472627735,1.1673427551741073,1.157972931385718,1.1742185574742543,9,"[1.1656109138580448, 1.1673427551741073, 1.1730776350625225]"
wiki-volcano-first-paragraph,commonmark,render,863.9715139579879,860.8908746556474,1.0059381955784277,0.996639265421974,1.0157434035711852,9,"[1.0110088106965944, 1.0047873097484314, 1.0059381955784277]"
wiki-volcano-lead,commonmark,fresh,6051.072876447876,5446.306075783972,1.1137166485393688,1.1065645585242754,1.1262121280981134,9,"[1.1220477778804014, 1.1098203962577502, 1.1137166485393688]"
wiki-volcano-lead,commonmark,reuse,5554.890625,4937.840891167192,1.1250567753377374,1.1213406225012916,1.1366394477317239,9,"[1.1250567753377374, 1.1344835249194738, 1.1235891943177565]"
wiki-volcano-lead,commonmark,parse,4340.827604166667,3736.071748210024,1.1614094124480865,1.1484165954497374,1.1703180481809248,9,"[1.1613290063211301, 1.1624188051513813, 1.1511842121359592]"
wiki-volcano-lead,commonmark,render,1209.4862616099072,1205.8849103009259,1.001635820569532,0.9988459699978388,1.0062724357489095,9,"[1.001635820569532, 1.0012776433739874, 1.0036219894337404]"
wiki-volcano-article-body,commonmark,fresh,109723.35208333333,101633.056640625,1.0843352690238681,1.0584495070259021,1.5811705998809082,9,"[1.0843352690238681, 1.2336876334693152, 1.079602992472377]"
wiki-volcano-article-body,commonmark,reuse,109765.71041666667,102388.345703125,1.0845268100961907,1.0452911350344267,1.1068379066671976,9,"[1.090394134507292, 1.0845268100961907, 1.077902600243706]"
wiki-volcano-article-body,commonmark,parse,78910.80625,69476.16576086957,1.1324626908140885,1.110989375260386,1.1530486441533387,9,"[1.121264614692329, 1.1489076114041448, 1.1324626908140885]"
wiki-volcano-article-body,commonmark,render,23700.895359848484,24515.0146484375,0.9656385841058458,0.9043982414798564,1.0098955076854954,9,"[0.9554029558407015, 0.9904881395429898, 0.9668721011291893]"
wiki-volcano-plain-prose,commonmark,fresh,16218.481636597939,16212.508054123711,1.0007286752370324,0.994157697573813,1.0071520641489398,9,"[0.9999437043734428, 1.0066042494099294, 1.0002872085545285]"
wiki-volcano-plain-prose,commonmark,reuse,15504.460705445545,15341.669424019608,1.006777647089289,0.9834354988407142,1.0224568759587944,9,"[1.0030137876221903, 1.0103583490945252, 1.001362188950337]"
wiki-volcano-plain-prose,commonmark,parse,10639.41089527027,10599.87331081081,1.00259437021663,1.0006272172810668,1.0119541192645105,9,"[1.00259437021663, 1.0025038077593942, 1.0043915770168648]"
wiki-volcano-plain-prose,commonmark,render,4943.640772870663,4888.75732421875,1.0101392406480127,0.9922827758738032,1.0415869717082338,9,"[1.015608156826956, 1.0152266238588394, 0.9955448149876661]"
scan-empty,commonmark,fresh,322.1063182848897,315.8629914594704,1.0165061953626127,1.0127982910955742,1.0529985350770956,9,"[1.015474150686185, 1.0461769945817614, 1.0146822221128178]"
scan-empty,commonmark,reuse,32.62328273759813,32.55797059926655,1.0009802220175543,0.9972260693033829,1.0040642514734646,9,"[1.0009802220175543, 1.0000977390091221, 1.0017494262190703]"
scan-empty,commonmark,parse,15.676549394514005,15.679944806823883,1.0012854695011129,0.9886927441871594,1.0118614735494136,9,"[1.005378687878092, 0.9991934485312113, 0.997087464477441]"
scan-empty,commonmark,render,18.905328558119276,18.893898354272725,0.9986347901543671,0.988827752348564,1.003614257487239,9,"[0.9986347901543671, 0.9984714184491619, 0.9988177928968545]"
scan-short-link,commonmark,fresh,533.7380998121585,525.0913558467741,1.018660691171263,0.9954862974964475,1.0322313939015098,9,"[1.0222406276990483, 1.004121056602842, 1.018660691171263]"
scan-short-link,commonmark,reuse,153.59259509534107,154.0383570337145,0.9971244823825517,0.9886475263166623,1.0052957000568632,9,"[0.9971172378379615, 0.995580983517171, 0.9979212613011753]"
scan-short-link,commonmark,parse,117.9310141509434,117.47442626494248,1.0027765359601137,0.9998800248860569,1.0139047474338876,9,"[1.0026591980984372, 1.0027765359601137, 1.0087735819316763]"
scan-short-link,commonmark,render,33.980970814666605,33.77333702582946,1.0069944055055267,1.0008740889789496,1.016822485178375,9,"[1.0114855189785628, 1.005824243137679, 1.0068985043677665]"
scan-short-title,commonmark,fresh,548.3059210526316,534.4397550444596,1.0311948037242171,1.0136539364896293,1.0385398595001787,9,"[1.0331301105613462, 1.0311948037242171, 1.0287929049519613]"
scan-short-title,commonmark,reuse,166.52222200021313,162.41760536846482,1.0225358194790057,1.0216756389319395,1.0342497461667701,9,"[1.0225358194790057, 1.023809920552644, 1.0222828081926074]"
scan-short-title,commonmark,parse,124.08193291908204,123.07251545762445,1.00837019668609,1.0033682843265983,1.014255231634273,9,"[1.0062274433854952, 1.0106500362473099, 1.00837019668609]"
scan-short-title,commonmark,render,39.19071670428894,38.70730451719184,1.0076568479652939,0.9992615758572976,1.0268482558217762,9,"[1.0010794596535413, 1.0076568479652939, 1.0154023091407016]"
scan-short-entity,commonmark,fresh,562.6725558156284,554.1435837765957,1.0077968145336715,0.9983606615037424,1.0254198207788834,9,"[1.0215670985174008, 1.0129180497201882, 1.004407095555617]"
scan-short-entity,commonmark,reuse,232.01153025241277,232.91202582352065,0.9969373394548113,0.9840482388857645,1.709119277508092,9,"[0.9969373394548113, 0.9926148097252334, 0.9991979211671868]"
scan-short-entity,commonmark,parse,190.92178717619745,190.51803294928067,1.0046578542891142,0.9977729237685192,1.0209642330012243,9,"[1.000628072145001, 1.0046578542891142, 1.012381617891166]"
scan-short-entity,commonmark,render,42.769378353041006,42.61512197949054,1.0035576328096998,0.9891041029614942,1.014631105965605,9,"[0.9901951706816376, 1.006275759021829, 1.0115755311030834]"
scan-short-reference,commonmark,fresh,821.9502071278274,809.9835330310881,1.019673590795395,0.9975754970585006,1.0351158732386374,9,"[1.0055562694919, 1.0273902939021546, 1.019673590795395]"
scan-short-reference,commonmark,reuse,489.1741686228482,479.4246836656442,1.02326309182904,1.017637524249486,1.0301931636522992,9,"[1.0264034643109623, 1.0181224141766987, 1.0183409613682242]"
scan-short-reference,commonmark,parse,439.56977848101263,430.4003976177362,1.0181572432139547,1.0121369446942365,1.0268040731589476,9,"[1.0181572432139547, 1.0146436106074022, 1.0184199390516049]"
scan-short-reference,commonmark,render,43.85363984002245,43.63253609226216,1.0050633316709616,0.9996481349546184,1.0133432088640073,9,"[1.0103974309174903, 1.001067296098236, 1.0050633316709616]"
scan-long-clean-links,gfm,fresh,26835.164724576272,21394.285050675677,1.2452600485666858,1.2413044654055791,1.2600494115302854,9,"[1.2428225715421115, 1.2444624735404373, 1.2547499587068698]"
scan-long-clean-links,gfm,reuse,26249.370833333334,20924.965416666666,1.2581728649382002,1.2429542662518211,1.2660510203062418,9,"[1.2531175290874166, 1.2581728649382002, 1.2589253184150027]"
scan-long-clean-links,gfm,parse,24139.66346153846,18832.360692771083,1.2839609816586046,1.2715654109455719,1.300177159202057,9,"[1.2893208539695218, 1.2839609816586046, 1.275738222027175]"
scan-long-clean-links,gfm,render,1980.3845849176173,1969.2878620906802,1.005299954198338,0.9916269379129651,1.0175747027059543,9,"[1.005299954198338, 0.9978229397090581, 1.0060752791763354]"
scan-many-short-links,gfm,fresh,10675.825467687075,10245.625612745098,1.0409570517537279,1.029030254622405,1.053633824991163,9,"[1.0422238045844014, 1.0409570517537279, 1.034246140018066]"
scan-many-short-links,gfm,reuse,10086.962298387096,9735.822593167703,1.040252465994696,1.0336045080182092,1.050516772587727,9,"[1.0407750385186254, 1.0406059884011967, 1.0346078819528919]"
scan-many-short-links,gfm,parse,6452.739197530864,6210.198536706349,1.037328747362469,1.0280978631786204,1.0590742280587542,9,"[1.037328747362469, 1.0387558014613414, 1.0287269678099589]"
scan-many-short-links,gfm,render,3631.885005800464,3494.7218889508927,1.0359910194805244,1.0296065021780743,1.0419947831205962,9,"[1.0359910194805244, 1.0362431810648267, 1.0338860253408564]"
scan-escaped-links,gfm,fresh,16729.402260638297,16827.3689516129,0.9950444175215818,0.9699926983734233,1.0068645832681287,9,"[1.000972538260044, 1.005437330577646, 0.9904555126544865]"
scan-escaped-links,gfm,reuse,16076.676658163266,16279.852864583334,0.9926487368624582,0.9828335266401774,1.0001241667563736,9,"[0.9846837811117499, 0.9926487368624582, 0.9990315133757267]"
scan-escaped-links,gfm,parse,13962.29771205357,13988.26953125,0.9954764024491792,0.9899618081654027,1.0146390912933698,9,"[0.9959557553710151, 0.9954764024491792, 0.9919798701767575]"
scan-escaped-links,gfm,render,2216.810726950355,2224.7010579658604,0.9963533929954032,0.987329957518759,1.0013191795957075,9,"[0.9977739860381111, 0.9963533929954032, 0.995626239580905]"
scan-unicode-links,commonmark,fresh,26200.824479166666,21507.77654109589,1.2195261943921765,1.2041240901375976,1.2276872072694918,9,"[1.2148865844191168, 1.2153986210832532, 1.2242664739090834]"
scan-unicode-links,commonmark,reuse,25885.011270491803,20987.117916666666,1.2255906514806298,1.2115088122748727,1.241992629707289,9,"[1.2379105959529508, 1.230118050817302, 1.215459360002579]"
scan-unicode-links,commonmark,parse,23850.319602272728,19127.842606707316,1.2452544812192503,1.2378629523419362,1.25159349301047,9,"[1.2449358519797544, 1.2469341007609063, 1.248711569864543]"
scan-unicode-links,commonmark,render,1954.959296875,1953.9713671875,1.001794574319822,0.993176257918808,1.0092726896078534,9,"[0.9994664443179525, 1.001794574319822, 1.0061978870226775]"
scan-long-references,gfm,fresh,62035.957932692305,53378.99375,1.1641580884700407,1.1581533544275309,1.17338554909289,9,"[1.1641580884700407, 1.1599816860667471, 1.1645887051433668]"
scan-long-references,gfm,reuse,61052.88461538462,52282.769791666666,1.164113095126252,1.1520482036921447,1.1818092473585076,9,"[1.1631471189459686, 1.164113095126252, 1.1745388953465106]"
