name,group,feature,workload,document,target_bytes,byte_count,mode,off_ns,on_ns,on_over_off,ratio_min,ratio_max,pairs,round_ratios,html_equal,ast_equal,off_html_bytes,on_html_bytes
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,parse,114.00914745366993,119.80454554166987,1.0503105643144794,1.0383134194939687,1.0576541023110766,9,"[1.0494215039131602, 1.057618219488611, 1.0503105643144794]",True,True,342,342
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,render,51.53060383207466,51.36724990959598,0.996232886774008,0.9944202691435302,1.0016897488569345,9,"[0.9962393072553709, 0.9955987019678028, 0.996232886774008]",True,True,342,342
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,fresh,491.6366093897452,492.4299484089477,1.0056886269435759,0.9725174308174415,1.02570908741427,9,"[1.0134393553870238, 0.9917369510535183, 1.0059351267982748]",True,True,342,342
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,reuse,164.26810541947015,170.40309092148308,1.0297994560051205,1.0215161458552937,1.0374365519758209,9,"[1.0314836739219737, 1.0297994560051205, 1.0258931025077378]",True,True,342,342
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,parse,1178.0321919743783,1220.0663300156127,1.0358014779815932,1.029269023212586,1.0449028684989445,9,"[1.0329592017070024, 1.0358014779815932, 1.0372024456073938]",True,True,4275,4275
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,render,525.5761015808947,527.7790970111449,1.0041811765182747,0.9984716020418145,1.0120176635162152,9,"[1.004278289151379, 1.0041811765182747, 1.0023188726653653]",True,True,4275,4275
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,fresh,2108.3782850404314,2137.855164158687,1.0161796274317079,1.0006282024342656,1.0274046036704518,9,"[1.0148474618510563, 1.0116464095168893, 1.0261924406327334]",True,True,4275,4275
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,reuse,1692.7660984848485,1732.5474639689578,1.0255476813634483,1.0191339218506241,1.0339228800868032,9,"[1.0255476813634483, 1.023937226427628, 1.033199749020585]",True,True,4275,4275
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,parse,18190.346293604653,18879.80045180723,1.0383005976318942,1.025268318597709,1.0417185114804386,9,"[1.036869724600186, 1.0400884400564787, 1.0381009544326347]",True,True,68058,68058
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,render,8316.260804521276,8317.209607712766,1.0001140901198016,0.6278996790611923,1.0056257558717636,9,"[1.0012916330105697, 1.0001140901198016, 0.9988341155720308]",True,True,68058,68058
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,fresh,27436.08566810345,28083.914620535714,1.0235224556625637,1.0167804457273832,1.0306942697867376,9,"[1.0236261504530726, 1.0235224556625637, 1.0200396357381492]",True,True,68058,68058
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,reuse,26451.258333333335,27227.52801724138,1.0249484241333988,1.0122453621651992,1.0315180535275652,9,"[1.0246096257246262, 1.0265817934980725, 1.0192225188001622]",True,True,68058,68058
