case,profile,mode,baseline_ns_per_document,candidate_ns_per_document,baseline_over_candidate_median,baseline_over_candidate_min,baseline_over_candidate_max,pairs,round_medians
comment-table,gfm,reuse,1081.271265560166,1071.8548096707818,1.0044058081377254,0.9972683379781145,1.0305552576471748,9,"[1.0025327888326587, 1.0109013161353857, 0.999424860175221]"
comment-table,gfm,render,186.40651840033402,191.45745910928693,0.9752950970076171,0.9648811408137765,1.073242068734729,9,"[0.972781074710511, 0.9701799071091017, 0.9761154624141346]"
typescript-handbook-typescript-5-0,gfm,reuse,79561.4578125,80352.5390625,0.9949059267863533,0.9628502654812637,1.0460081556207579,9,"[0.9949059267863533, 1.0129632498499708, 0.9666340484296341]"
typescript-handbook-typescript-5-0,gfm,render,21423.997859589042,22485.286607142858,0.9526961692482758,0.9230452992894912,1.009020328837717,9,"[0.9469028831265666, 0.96288442591439, 0.9526961692482758]"
wiki-chess-article-body,commonmark,reuse,186489.00347222222,171669.009375,1.09366878687695,1.0490518018577697,2.541444397558871,9,"[1.0812739004047573, 1.3446915461432811, 1.0722380535990927]"
wiki-chess-article-body,commonmark,render,37612.568452380954,40275.24038461538,0.9460069295970764,0.9099616014302301,0.9745399295914298,9,"[0.928717649636826, 0.9544111835667111, 0.9460069295970764]"
