name,group,feature,workload,document,target_bytes,byte_count,mode,off_ns,on_ns,on_over_off,ratio_min,ratio_max,pairs,round_ratios,html_equal,ast_equal,off_html_bytes,on_html_bytes
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,parse,117.79530248774972,139.85363152242013,1.185783785613533,1.181756530765444,1.198517271616454,9,"[1.1897219659209606, 1.185783785613533, 1.1852218204465557]",True,True,342,342
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,render,52.02225142329205,52.40970580096599,0.997151589891496,0.995617270113321,1.0130094343197338,9,"[0.9962586570924403, 1.0061833973071037, 0.997151589891496]",True,True,342,342
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,fresh,499.22998202875397,523.2918515572673,1.0488860951657044,1.0314697224608098,3.4042202068186778,9,"[1.320916049015726, 1.0447379447604022, 1.0511668415747728]",True,True,342,342
parser.line_comments-plain-300,feature,parser.line_comments,plain,,300,330,reuse,168.70315874001295,190.48337879434354,1.1281323175327018,1.122079643530296,1.1402660880851958,9,"[1.1324775048381697, 1.1312148653079048, 1.124725452784576]",True,True,342,342
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,parse,1206.5787886100386,1445.7714211378354,1.201162068439064,1.1931138657601028,1.2242100347439069,9,"[1.1948536202071702, 1.2133799548911701, 1.201162068439064]",True,True,4275,4275
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,render,535.133957619863,533.7051955259562,1.002990091690021,0.9905178820377967,1.0067354181876302,9,"[1.0047215047860434, 0.9911909858662892, 1.002990091690021]",True,True,4275,4275
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,fresh,2149.4565852819806,2407.8409572419105,1.1216198768316006,1.1107283380019464,1.128333243784225,9,"[1.1152730053143056, 1.1113720834359204, 1.123365394402306]",True,True,4275,4275
parser.line_comments-plain-4096,feature,parser.line_comments,plain,,4096,4125,reuse,1730.689368770764,1976.4851058786346,1.137834140806117,1.1273961479736347,1.1513189656132903,9,"[1.1282896528970716, 1.1392903558791252, 1.1445267663624172]",True,True,4275,4275
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,parse,18833.08519345238,22726.864130434784,1.207494181085794,1.1891423741782126,1.2146564308583432,9,"[1.1926386987585047, 1.207700634764521, 1.211045655138133]",True,True,68058,68058
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,render,8367.58439171123,8370.14672459893,0.9998712186172652,0.9918754679239921,2.141838376703161,9,"[0.9996999436434274, 0.9998712186172652, 1.0068671585531426]",True,True,68058,68058
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,fresh,27888.203399122805,31858.385,1.1416057898281413,1.1352080319809301,1.1490505198785113,9,"[1.142160554792354, 1.1376849194981016, 1.137883138089251]",True,True,68058,68058
parser.line_comments-plain-65536,feature,parser.line_comments,plain,,65536,65670,reuse,27250.718211206895,31205.422794117647,1.1443231096307267,1.1330993300636545,1.1566513973009243,9,"[1.1451229487700025, 1.1479877480433496, 1.1421143552054123]",True,True,68058,68058
parser.definition_lists-plain-300,feature,parser.definition_lists,plain,,300,330,parse,117.59830332279672,312.92159966960355,2.654236897056297,2.644301131603875,2.6925223716381845,9,"[2.6526462492295413, 2.6520780418847347, 2.675427203665006]",True,True,342,342
parser.definition_lists-plain-300,feature,parser.definition_lists,plain,,300,330,render,52.06697559146951,52.26171796608469,1.0034614450577837,0.793829794695579,1.011488216921605,9,"[1.0062443401280623, 1.0012132649104912, 1.0031396234936973]",True,True,342,342
parser.definition_lists-plain-300,feature,parser.definition_lists,plain,,300,330,fresh,498.4798644338118,694.259731785873,1.393098998424394,1.3826729275116527,1.419271362388013,9,"[1.4021098026906846, 1.3901211067120418, 1.3901997192938897]",True,True,342,342
parser.definition_lists-plain-300,feature,parser.definition_lists,plain,,300,330,reuse,169.15455185105,364.20949370776043,2.1546506956819047,2.135918666443671,2.1688923101017026,9,"[2.1595068245625755, 2.154052628705544, 2.157736731741084]",True,True,342,342
parser.definition_lists-plain-4096,feature,parser.definition_lists,plain,,4096,4125,parse,1199.0769507285277,3798.041186286408,3.1715112890264607,3.1227484954217566,3.2340398739542495,9,"[3.149164115720903, 3.1724952246956635, 3.1787974759850313]",True,True,4275,4275
parser.definition_lists-plain-4096,feature,parser.definition_lists,plain,,4096,4125,render,536.0755253001715,534.2632692307692,1.0022036261945668,0.9886205641202211,1.020650764977119,9,"[0.9983938889831306, 1.0037982302184303, 1.0052681739615443]",True,True,4275,4275
parser.definition_lists-plain-4096,feature,parser.definition_lists,plain,,4096,4125,fresh,2158.453125,4757.068389057751,2.2056096808237666,2.1837572758349832,2.22068925903641,9,"[2.217100123312822, 2.2058986620235697, 2.20236581694692]",True,True,4275,4275
parser.definition_lists-plain-4096,feature,parser.definition_lists,plain,,4096,4125,reuse,1735.9632006104328,4322.046184392265,2.489350238495253,2.4749235652509176,2.5175604626677206,9,"[2.480427192014255, 2.489350238495253, 2.4989678493050635]",True,True,4275,4275
parser.definition_lists-plain-65536,feature,parser.definition_lists,plain,,65536,65670,parse,18829.05045180723,60056.51967592593,3.1901836945124096,3.1678418235503205,3.195475426806305,9,"[3.1908103453635337, 3.172113918414356, 3.1901836945124096]",True,True,68058,68058
parser.definition_lists-plain-65536,feature,parser.definition_lists,plain,,65536,65670,render,8416.309643817205,8464.484797297297,1.008980934298216,0.9868178358584277,1.0217185314896775,9,"[1.0102355451082037, 1.0009015795971314, 1.009869832216101]",True,True,68058,68058
parser.definition_lists-plain-65536,feature,parser.definition_lists,plain,,65536,65670,fresh,27836.91995614035,69258.37907608696,2.4821793120368945,2.4569741413891295,2.5125257225008406,9,"[2.4766110683513207, 2.4892466593724674, 2.4797462021694745]",True,True,68058,68058
parser.definition_lists-plain-65536,feature,parser.definition_lists,plain,,65536,65670,reuse,27279.40948275862,68751.41440217392,2.514859838085673,2.497624969612219,2.5357272512485003,9,"[2.508878608440203, 2.514859838085673, 2.5216872562384016]",True,True,68058,68058
