case,category,size_bin,bytes,profile,output,mode,main_us,v2_us,main_over_v2,ratio_min,ratio_max,leader
wiki-chess-plain-prose,plain-prose,50–256 KiB,80966,commonmark,serialization-equivalent,owned,36.66668701171875,28.361539909638555,1.2810622259206983,1.2509648895777883,1.3272811840270364,v2
wiki-chess-plain-prose,plain-prose,50–256 KiB,80966,commonmark,serialization-equivalent,reuse,32.69133376736111,28.124876116071427,1.1642617289006945,1.1489947017599107,1.1711079053650681,v2
wiki-volcano-first-paragraph,encyclopedia,2–10 KiB,2644,commonmark,serialization-equivalent,fresh,9.825112316945606,4.5568846480582526,2.1624015872790165,2.1465286240022228,2.193197433713401,v2
wiki-volcano-first-paragraph,encyclopedia,2–10 KiB,2644,commonmark,serialization-equivalent,owned,8.617771484375,4.222300303507194,2.041562203865207,2.036658858464812,2.0549216423901706,v2
wiki-volcano-first-paragraph,encyclopedia,2–10 KiB,2644,commonmark,serialization-equivalent,reuse,8.57036005930657,4.175315558274021,2.0363925222900146,2.017407893998919,2.0578803871669002,v2
wiki-volcano-lead,encyclopedia,2–10 KiB,4232,commonmark,serialization-equivalent,fresh,11.47102393292683,5.993170679209183,1.909063378052411,1.8884707343905753,1.9365412883278263,v2
wiki-volcano-lead,encyclopedia,2–10 KiB,4232,commonmark,serialization-equivalent,owned,10.397538716814159,5.605328908114559,1.8470202018448048,1.8253762099404,1.862064395961408,v2
wiki-volcano-lead,encyclopedia,2–10 KiB,4232,commonmark,serialization-equivalent,reuse,10.000415558510639,5.547475251182034,1.802043537779952,1.7837756028137355,1.8161064445945747,v2
wiki-volcano-article-body,encyclopedia,50–256 KiB,69241,commonmark,different,fresh,158.9519104166667,110.84511079545454,1.4247629331476193,1.4003391654977198,1.460157552443797,v2
wiki-volcano-article-body,encyclopedia,50–256 KiB,69241,commonmark,different,owned,155.34130859375,109.65411931818183,1.4166481802931479,1.3859818589327484,1.4439826961889295,v2
wiki-volcano-article-body,encyclopedia,50–256 KiB,69241,commonmark,different,reuse,150.4912109375,109.2100497159091,1.3941270601280178,1.3616897050099335,1.407607141717546,v2
wiki-volcano-plain-prose,plain-prose,10–50 KiB,47303,commonmark,serialization-equivalent,fresh,22.0391839953271,16.066976883561644,1.3666172359469824,1.3477730134132457,1.742553370676763,v2
wiki-volcano-plain-prose,plain-prose,10–50 KiB,47303,commonmark,serialization-equivalent,owned,20.795826327433627,15.562741514900663,1.336031807010003,1.3212942240139915,1.3570190048649566,v2
wiki-volcano-plain-prose,plain-prose,10–50 KiB,47303,commonmark,serialization-equivalent,reuse,18.699394593253967,15.461931332236842,1.2108392883204415,1.1990548333194735,1.216728457170676,v2
